hip,hd,proper,bf,bayer,flam,con,ra_deg,dec,mag,ci,spect,dist
27472,38284,"","","","",Cam,87.26944499999999,62.80819,6.18,0.128,A4V,122.6994
27483,38656,"",29Tau Aur,Tau,29,Aur,87.293505,39.181071,4.51,0.949,G8III,63.4115
27511,38899,"",134    Tau,"",134,Tau,87.38721000000001,12.651324,4.89,-0.068,B9IV,76.2777
27512,39312,"","","","",Pic,87.39219,-44.875394,6.38,1.262,K1III,100000.0
27517,39070,"","","","",Lep,87.402255,-14.483665,5.49,0.87,G8III,82.0345
27530,39523,"",Gam Pic,Gam,"",Pic,87.456765,-56.166663,4.5,1.075,K1III,54.2005
27533,39190,"","","","",Lep,87.47291999999999,-22.971872,5.87,0.055,A1V,170.3578
27534,39844,"",Eps Dor,Eps,"",Dor,87.473085,-66.901187,5.1,-0.128,B6V,176.0563
27549,39007,"","","","",Ori,87.511185,9.871218,5.79,0.876,G8III,109.8901
27560,39051,"","","","",Ori,87.55443,4.423406,5.96,1.361,K2III,178.2531
27566,40953,"",Kap Men,Kap,"",Men,87.569985,-79.361362,5.46,-0.076,B9.5V,87.4126
27583,39547,"","","","",Pic,87.6201,-52.767879,6.32,0.746,K0/K1III,214.5923
27581,39019,"",135    Tau,"",135,Tau,87.620445,14.305608,5.54,1.006,G9III:,97.0874
27588,39118,"","","","",Ori,87.62511,2.0247,5.97,0.953,G8III+...,316.4557
27621,39640,"","","","",Pic,87.721755,-52.108873,5.16,0.96,G8III,78.6164
27625,38765,"","","","",Aur,87.73464000000001,51.514583,6.29,1.047,K1III,87.7193
27628,39425,Wazn,Bet Col,Bet,"",Col,87.739935,-35.768309,3.12,1.146,K1.5III,26.7308
27629,39004,"","","","",Tau,87.742125,27.967861,5.6,0.978,G7III:,107.0664
27639,38944,"",31Ups Aur,Ups,31,Aur,87.760125,37.305573,4.72,1.621,M1III,160.2564
27654,39364,"",15Del Lep,Del,15,Lep,87.830355,-20.879089,3.76,0.984,G8III/IV,34.8675
27658,39291,"",55    Ori,"",55,Ori,87.841605,-7.518003,5.36,-0.195,B2IV-V,321.5434
27660,39963,"","","","",Dor,87.84624000000001,-64.033566,6.35,0.866,G8III,346.0208
27661,39045,"","","","",Aur,87.85729500000001,32.124694,6.28,1.752,M3III,183.8235
27670,39385,"","","","",Lep,87.86922000000001,-22.926947,6.16,1.02,K0IIICN...,126.1034
27673,39003,"",32Nu  Aur,Nu,32,Aur,87.87249,39.14848,3.97,1.132,K0III,70.6215
27705,39543,"","","","",Col,87.99828000000001,-29.449426,6.47,1.473,K3III,215.5172
27713,39421,"","","","",Ori,88.03221,-9.0419,5.95,0.1,A2Vn,98.912
27731,38831,"",30    Cam,"",30,Cam,88.0719,58.964088,6.14,-0.036,A0Vs,148.368
27737,39937,"","","","",Pic,88.08414,-57.156191,5.93,0.656,F7IV,132.626
27743,39317,"",137    Tau,"",137,Tau,88.092885,14.171787,5.6,-0.053,B9p...,130.039
27747,39286,"","","","",Ori,88.09752,19.867849,5.96,0.549,B9V + G,343.6426
27750,39400,"",56    Ori,"",56,Ori,88.11016500000001,1.855134,4.76,1.382,K2IIvar,386.1004
27766,39720,"","","","",Col,88.138245,-37.631063,5.62,1.046,K1III,98.7167
27777,39182,"","","","",Aur,88.165275,39.574705,6.4,0.098,A2V,188.6792
27778,39225,"","","","",Aur,88.167045,33.917462,6.04,1.579,M2II:,236.4066
27795,38645,"","","","",Cam,88.2312,68.471541,6.22,0.955,G9III,141.6431
27810,39764,"",Lam Col,Lam,"",Col,88.278675,-33.801361,4.88,-0.154,B5V,102.5641
27830,39357,"",136    Tau,"",136,Tau,88.33185,27.612262,4.56,-0.008,A0V,129.7017
27890,40409,"","","","",Dor,88.52487,-63.089627,4.65,1.022,K1III/IV,26.2467
27900,39632,"","","","",Ori,88.55562,10.586403,6.13,1.404,G9II,431.0345
27901,39891,"","","","",Col,88.55843999999999,-29.147206,6.34,0.37,F3V,53.9084
27902,39685,"","","","",Ori,88.565655,3.225641,6.3,1.283,K0,140.4494
27913,39587,"",54Chi1Ori,Chi-1,54,Ori,88.59579000000001,20.276174,4.39,0.594,G0V,8.6633
27937,40200,"","","","",Pic,88.67133,-49.62701,6.11,-0.148,B3V,343.6426
27938,39853,"","","","",Lep,88.68178499999999,-11.774192,5.62,1.523,K3 comp,203.252
27939,39775,"","","","",Ori,88.68348,0.968615,5.99,1.328,K0III,268.0965
27947,40292,"","","","",Pic,88.70874,-52.635481,5.29,0.295,F0Ve...,34.6981
27949,39283,"",30Xi  Aur,Xi,30,Aur,88.71160499999999,55.706947,4.96,0.052,A2V,73.046
27955,40091,"","","","",Col,88.7187,-39.957857,5.55,1.515,M0III,155.2795
27965,39698,"",57    Ori,"",57,Ori,88.73619000000001,19.749614,5.92,-0.145,B2V,558.6592
27971,39220,"",31    Cam,"",31,Cam,88.74094500000001,59.888367,5.2,0.01,A2V,143.6782
27973,39586,"","","","",Aur,88.745805,31.701496,5.9,0.144,A5IV,84.9618
27989,39801,Betelgeuse,58Alp Ori,Alp,58,Ori,88.792935,7.407063,0.45,1.5,M2Ib,152.6718
28010,40176,"",Xi  Col,Xi,"",Col,88.874625,-37.120668,4.97,1.102,K1IIICN...,102.0408
28011,39910,"","","","",Ori,88.87572,-4.616546,5.87,1.173,K2III:,96.9932
28019,39927,"","","","",Ori,88.89736500000001,-4.788587,6.28,0.056,A2III,102.0408
28085,40151,"","","","",Lep,89.05944,-22.839975,5.95,1.107,K0/K1III,88.6525
28098,40248,"",Sig Col,Sig,"",Col,89.087265,-31.38244,5.52,0.382,F2III,510.2041
28103,40136,"",16Eta Lep,Eta,16,Lep,89.10123,-14.1677,3.71,0.337,F1V,14.8787
28110,39985,"","","","",Ori,89.116815,9.509396,5.97,-0.038,A0IV,120.048
28117,39866,"","","","",Aur,89.14069500000001,28.942266,6.35,0.275,A2II,100000.0
28118,40235,"","","","",Lep,89.143485,-23.21531,6.37,1.068,K0III,137.1742
28138,40359,"","","","",Col,89.20419,-31.976247,6.44,1.07,G8III,240.9639
28139,40020,"","","","",Ori,89.206035,11.521058,5.89,1.111,K2III,94.6074
28154,39970,"","","","",Tau,89.23383,24.249689,6.03,0.346,A0Ia,100000.0
28180,40665,"","","","",Pic,89.30988,-53.425693,6.48,1.48,K5/M0III,207.0393
28199,40494,"",Gam Col,Gam,"",Col,89.38420500000001,-35.28328,4.36,-0.165,B2.5IV,266.6667
28205,39429,"","","","",Cam,89.39574,66.096099,6.24,1.369,K0,149.7006
28232,40282,"","","","",Ori,89.47705500000001,1.22431,6.22,1.461,M0III,148.8095
28237,40111,"",139    Tau,"",139,Tau,89.498565,25.953912,4.81,-0.088,B1Ib,476.1905
28252,40347,"","","","",Ori,89.5488,-0.994018,6.21,1.14,K0,103.5197
28271,40372,"",59    Ori,"",59,Ori,89.60184,1.837108,5.89,0.223,A5me del Del,111.7318
28287,40733,"","","","",Pic,89.656455,-44.034562,5.81,1.061,G8II,362.3188
